fitness,epsilon,crossover_rate,mutation_rate,scaling_factor
1260.0000,0.1000,0.4000,0.1000,5.0000
1260.0000,0.5000,0.2000,0.0200,2.0000
1261.0000,0.1000,0.1000,0.0500,5.0000
1261.1759,0.3000,0.4000,0.0200,5.0000
1265.6149,0.2000,0.1000,0.0200,5.0000
1269.0000,0.5000,0.1000,0.1000,5.0000
1272.0000,0.3000,0.1000,0.0100,0.5000
1276.7623,0.3000,0.0500,0.0100,1.0000
1280.0000,0.3000,0.4000,0.0100,5.0000
1280.0000,0.0500,0.4000,0.0100,5.0000
1281.0000,0.0500,0.2000,0.0100,5.0000
1282.2936,0.3000,0.1000,0.0100,1.0000
1284.0000,0.5000,0.2000,0.0200,0.5000
1284.6817,0.5000,0.1000,0.1000,2.0000
1287.0000,0.0500,0.0500,0.0100,2.0000
1290.0673,0.1000,0.0500,0.0500,2.0000
1290.9322,0.0500,0.0500,0.0200,5.0000
1291.4914,0.3000,0.2000,0.0500,5.0000
1293.0000,0.5000,0.0500,0.2000,5.0000
1295.0000,0.0500,0.1000,0.0100,5.0000
1297.3722,0.1000,0.0500,0.0500,5.0000
1298.0000,0.2000,0.1000,0.0500,5.0000
1301.0000,0.0500,0.1000,0.1000,5.0000
1304.0000,0.1000,0.1000,0.0200,5.0000
1304.1056,0.5000,0.6000,0.1000,5.0000
1304.9324,0.1000,0.2000,0.0100,5.0000
1307.0000,0.1000,0.2000,0.0200,5.0000
1307.0885,0.3000,0.2000,0.0200,2.0000
1307.6361,0.3000,0.1000,0.0500,2.0000
1310.0000,0.5000,0.0500,0.0500,0.5000
1311.6205,0.5000,0.0500,0.1000,2.0000
1314.6372,0.3000,0.0500,0.1000,1.0000
1316.0000,0.5000,0.6000,0.0500,5.0000
1317.0032,0.3000,0.2000,0.0100,5.0000
1324.0000,0.1000,0.0500,0.0100,5.0000
1324.0000,0.2000,0.2000,0.0100,5.0000
1326.0000,0.5000,0.2000,0.0200,1.0000
1326.0000,0.5000,0.2000,0.1000,5.0000
1331.8531,0.2000,0.0500,0.0500,5.0000
1333.9165,0.2000,0.2000,0.0200,5.0000
1334.0000,0.3000,0.0500,0.0100,2.0000
1334.5742,0.5000,0.2000,0.0500,5.0000
1335.0000,0.3000,0.0500,0.0200,5.0000
1336.0000,0.3000,0.1000,0.1000,5.0000
1346.3457,0.3000,0.1000,0.0500,5.0000
1348.0980,0.3000,0.0500,0.0200,2.0000
1350.0000,0.5000,0.0500,0.0200,0.5000
1361.0000,0.2000,0.0500,0.0100,2.0000
1363.6679,0.3000,0.0500,0.0500,2.0000
1365.0632,0.5000,0.4000,0.0200,5.0000
1368.6442,0.2000,0.0500,0.0100,1.0000
1375.0000,0.2000,0.1000,0.0100,5.0000
1379.0000,0.5000,0.0500,0.0500,2.0000
1382.0000,0.5000,0.1000,0.0100,1.0000
1383.5875,0.3000,0.0500,0.0500,5.0000
1387.0000,0.2000,0.0500,0.0200,5.0000
1389.0295,0.5000,0.1000,0.0500,5.0000
1395.5197,0.5000,0.0500,0.0200,2.0000
1399.0000,0.0500,0.0500,0.0100,5.0000
1401.0000,0.5000,0.1000,0.0100,0.5000
1410.8590,0.5000,0.0500,0.1000,5.0000
1411.0000,0.3000,0.1000,0.0200,5.0000
1411.1971,0.5000,0.0500,0.0100,0.5000
1418.0000,0.5000,0.4000,0.0100,5.0000
1423.0000,0.1000,0.0500,0.0200,5.0000
1448.0000,0.5000,0.2000,0.0200,5.0000
1450.0000,0.3000,0.2000,0.0200,5.0000
1459.0000,0.5000,0.2000,0.0100,2.0000
1475.0000,0.5000,0.1000,0.0200,5.0000
1483.0000,0.5000,0.1000,0.0100,2.0000
1490.1158,0.5000,0.6000,0.0100,5.0000
1491.8892,0.5000,0.0500,0.0200,1.0000
1501.6643,0.5000,0.0500,0.0500,5.0000
1506.0456,0.5000,0.0500,0.0100,0.1000
1531.0000,0.2000,0.0500,0.0100,5.0000
1562.0768,0.5000,0.2000,0.0100,5.0000
1567.4680,0.5000,0.0500,0.0100,1.0000
1567.5204,0.5000,0.0500,0.0200,5.0000
1579.0000,0.3000,0.0500,0.0100,5.0000
1631.0000,0.5000,0.1000,0.0100,5.0000
1633.0000,0.5000,0.0500,0.0100,2.0000
1729.9816,0.5000,0.0500,0.0100,5.0000
